Nombre de la Entidad|Municipio Entidad|Departamento Entidad
ANTIOQUIA  INSTITUCIÓN EDUCATIVA CENTRO FORMATIVO DE ANTIOQUIA CEFA  MEDELLÍN|Medellín|Antioquia
BOGOTÁ DC  COLEGIO ANDRES BELLO IED|Bogotá D.C.|Bogotá D.C.
NORTE DE SANTANDER  CENTRAL DE TRANSPORTES ESTACIÓN CÚCUTA|San José de Cúcuta|Norte De Santander
BOYACÁ  ESE CENTRO DE SALUD FIRAVITOBA|Firavitoba|Boyacá
BOGOTÁ DC  IED JORGE GAITÁN CORTES|Bogotá D.C.|Bogotá D.C.
HUILA  INSTITUCIÓN EDUCATIVA SANTA LUCIA  LA PLATA|La Plata|Huila
BOYACÁ  INSTITUCIÓN EDUCATIVA TÉCNICA PIJAOS  CUCAITA|Cucaita|Boyacá
HUILA  INSTITUCIÓN EDUCATIVA MUNICIPAL PALMARITO  PITALITO|Pitalito|Huila
NARIÑO  INSTITUCION EDUCATIVA LAS DELICIAS  LEIVA|Leiva|Nariño
CESAR  PERSONERÍA MUNICIPIO DE LA GLORIA|La Gloria|Cesar
TOLIMA  INSTITUCIÓN EDUCATIVA SAN BERNARDO  IBAGUÉ|Ibagué|Tolima
RISARALDA  INSTITUCIÓN EDUCATIVA BOMBAY  DOSQUEBRADAS|Dosquebradas|Risaralda
CAUCA  ESE HOSPITAL FRANCISCO DE PAULA SANTANDER  SANTANDER DE QUILICHAO|Santander de Quilichao|Cauca
CUNDINAMARCA  INSTITUTO DEPARTAMENTAL DE CULTURA Y TURISMO DE CUNDINAMARCA|Bogotá D.C.|Bogotá D.C.
CASANARE  ESE HOSPITAL DE AGUAZUL JUAN HERNANDO URREGO  AGUAZUL|Aguazul|Casanare
CÓRDOBA  ESE HOSPITAL SAN DIEGO DE CERETÉ|Cereté|Córdoba
LA GUAJIRA  CONCEJO MUNICIPIO DE URIBIA|Uribia|La Guajira
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE DAGUA|Dagua|Valle del Cauca
SUCRE  ALCALDÍA MUNICIPIO DE SAN MARCOS|San Marcos|Sucre
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ANDES|Andes|Antioquia
BOGOTÁ DC  IED SIMON BOLÍVAR SUBA|Bogotá D.C.|Bogotá D.C.
SANTANDER  ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA|Villanueva|Santander
CALDAS  ALCALDÍA MUNICIPIO DE RISARALDA|Risaralda|Caldas
GUAINÍA  ALCALDÍA MUNICIPAL DE BARRANCO MINAS|Barranco Minas|Guainía
MAGDALENA  ALCALDÍA MUNICIPIO DE EL PIÑON|El Piñon|Magdalena
NARIÑO  ESE CENTRO DE SALUD SAN BARTOLOMÉ DE CÓRDOBA|Pasto|Nariño
BOGOTÁ DC  IED REPUBLICA FEDERAL DE ALEMANIA|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA ALFONSO LÓPEZ PUMAREJO|Cartago|Valle del Cauca
SUCRE  INSTITUCIÓN EDUCATIVA CANUTALITO  OVEJAS|Ovejas|Sucre
VALLE DEL CAUCA  CONCEJO MUNICIPAL DE ANDALUCÍA|Andalucía|Valle del Cauca
ANTIOQUIA  EMPRESA PUEBLORRIQUEÑA DE ACUEDUCTO ALCANTARILLADO Y ASEO SA ESP  PUEBLORRICO|Pueblorrico|Antioquia
CAUCA  CONCEJO MUNICIPIO DE SANTANDER DE QUILICHAO|Santander de Quilichao|Cauca
BOLÍVAR  ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN  EL CARMEN DE BOLÍVAR|El Carmen de Bolívar|Bolívar
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL MANABLANCA  FACATATIVÁ|Tello|Huila
TOLIMA  CONCEJO MUNICIPIO DE COELLO|Coello|Tolima
META  CENTRO EDUCATIVO NICOLAS DE FEDERMAN  GUAMAL|Guamal|Meta
BOGOTÁ DC  IED PALERMO SUR|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  EMPRESAS PÚBLICAS LA ESTRELLA SAS ESP|La Estrella|Antioquia
RISARALDA  INSTITUCIÓN EDUCATIVA BOYACÁ  PEREIRA|Pereira|Risaralda
ANTIOQUIA  INSTITUTO TECNOLÓGICO METROPOLITANO  MEDELLÍN|Medellín|Antioquia
CASANARE  ALCALDÍA MUNICIPIO DE TRINIDAD|Trinidad|Casanare
VALLE DEL CAUCA  CAMARA DE COMERCIO DE TULUA|Tuluá|Valle del Cauca
ANTIOQUIA  INSTITUTO SOCIAL DE VIVIENDA Y HÁBITAT DEL MUNICIPIO DE MEDELLÍN ISVIMED|Medellín|Antioquia
ANTIOQUIA  ASOCIACIÓN CANAL LOCAL DE TELEVISIÓN DE MEDELLÍN  TELEMEDELLIN|Medellín|Antioquia
NARIÑO  ESE VIRGEN DE LOURDES  BUESACO|Buesaco|Nariño
NARIÑO  ALCALDÍA MUNICIPIO DE ROBERTO PAYÁN|Roberto Payán/San José|Nariño
BOYACÁ  ALCALDÍA MUNICIPIO DE RONDÓN|Rondón|Boyacá
AGENCIA NACIONAL DE TIERRAS|Bogotá D.C.|Bogotá D.C.
FONDO ROTATORIO DEL DANE|Bogotá D.C.|Bogotá D.C.
BOGOTÁ DC  IED GUSTAVO RESTREPO|Bogotá D.C.|Bogotá D.C.
CAQUETÁ  ESE SOR TERESA ADELE  DONCELLO|El Doncello|Caquetá
CÓRDOBA  ESE CENTRO DE SALUD COTORRA|Cotorra|Córdoba
AGENCIA PARA LA INFRAESTRUCTURA DEL META  AIM|Villavicencio|Meta
CUNDINAMARCA  ESE HOSPITAL DE GIRARDOT|Girardot|Cundinamarca
CONSEJO PROFESIONAL NACIONAL DE INGENIERÍA  COPNIA|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  ALCALDÍA MUNICIPIO DE AMAGÁ|Amagá|Antioquia
BOYACÁ  ESE CENTRO DE SALUD NUEVO COLON  NUEVO COLÓN|Nuevo Colón|Boyacá
SANTANDER  ALCALDÍA MUNICIPIO DE OIBA|Oiba|Santander
LA GUAJIRA  ALCALDÍA MUNICIPIO DE BARRANCAS|Barrancas|La Guajira
NARIÑO  ALCALDÍA MUNICIPIO DE POLICARPA|Policarpa|Nariño
BOYACÁ  ALCALDÍA MUNICIPIO DE PAJARITO|Pajarito|Boyacá
ANTIOQUIA AQUATERRA EMPRESA DE SERVICIOS PUBLICOS AQUATERRA ESP GUARNE|Guarne|Antioquia
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA PEDRO PABON PARGA|Carmen de Apicalá|Tolima
TOLIMA  ASAMBLEA DEPARTAMENTAL|Ibagué|Tolima
HUILA  INSTITUCIÓN EDUCATIVA ROBERTO SUAZA MARQUÍNEZ  HOBO|Hobo|Huila
HUILA  ESE HOSPITAL NUESTRA SEÑORA DE FATIMA DE SUAZA|Suaza|Huila
VALLE DEL CAUCA  HOSPITAL SAN NICOLÁS EMPRESA SOCIAL DEL ESTADO  VERSALLES|Versalles|Valle del Cauca
CASANARE  INSTITUTO TÉCNICO AMBIENTAL  YOPAL|Yopal|Casanare
META  INSTITUCIÓN EDUCATIVA SAN ISIDRO DE VERACRUZ  CUMARAL|Cumaral|Meta
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL PABLO NERUDA  SIBATÉ|Sibaté|Cundinamarca
NORTE DE SANTANDER  INSTITUCIÓN EDUCATIVA COLEGIO INTEGRADO JUAN ATALAYA  CUCUTA|Cucutilla|Norte De Santander
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA JUAN XXIII  CALI|Cali|Valle del Cauca
ANTIOQUIA  ESE HOSPITAL SAN JOAQUIN  NARIÑO|Nariño|Antioquia
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA CIUDAD DE CARTAGO|Cartago|Valle del Cauca
BOYACA  EMPRESAS PÚBLICAS DE GARAGOA SA ESP|Garagoa|Boyacá
GUAVIARE  FONDO MIXTO PARA LA PROMOCION DE LA CULTURA Y LAS ARTES DEL GUAVIARE|San José del Guaviare|Guaviare
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL PIO XII  PACHO|Pacho|Cundinamarca
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL RURAL PABLO HERRERA  CAJICÁ|Cajicá|Cundinamarca
ANTIOQUIA  ALCALDÍA MUNICIPIO DE VALDIVIA|Valdivia|Antioquia
BOGOTÁ DC  ALCALDÍA LOCAL DE KENEDDY|Bogotá D.C.|Bogotá D.C.
DEFENSORÍA DEL PUEBLO DEFENSORÍA|Bogotá D.C.|Bogotá D.C.
CESAR  HOSPITAL LOCAL DE CURUMANÍ CRISTIAN MORENO PALLARES|Curumaní|Cesar
BOLÍVAR  ALCALDÍA MUNICIPIO DE MARÍA LA BAJA|María La Baja|Bolívar
SANTANDER  CONTRALORÍA MUNICIPAL DE BUCARAMANGA|Bucaramanga|Santander
META  ALCALDÍA MUNICIPIO DE PUERTO GAITÁN|Puerto Gaitán|Meta
ANTIOQUIA  EMPRESA DE SEGURIDAD DEL ORIENTE SAS  ESO RIONEGRO SAS|Rionegro|Antioquia
BOLÍVAR  ALCALDÍA MUNICIPIO DE CALAMAR|Calamar|Bolívar
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL DOMINGO SAVIO  GUASCA|Guasca|Cundinamarca
NARIÑO  ESE CENTRO HOSPITAL DIVINO NIÑO  TUMACO|San Andres de Tumaco|Nariño
CARDER  CORPORACIÓN AUTÓNOMA REGIONAL DE RISARALDA|Pereira|Risaralda
VALLE DEL CAUCA  ESE HOSPITAL DEPARTAMENTAL TOMAS URIBE URIBE  TULUÁ|Tuluá|Valle del Cauca
BOGOTÁ DC  EMPRESA DE ACUEDUCTO Y ALCANTARILLADO|Bogotá D.C.|Bogotá D.C.
BOYACÁ  ESE CENTRO DE SALUD VENTAQUEMADA|Ventaquemada|Boyacá
BOGOTÁ DC  IED JULIO GARAVITO ARMERO|Bogotá D.C.|Bogotá D.C.
BOGOTÁ DC  IED COLEGIO VIRGINIA GUTIERREZ DE PINEDA|Bogotá D.C.|Bogotá D.C.
CESAR  EMPRESAS DE SERVICIOS PÚBLICOS DEL MUNICIPIO DE MANAURE|Manaure Balcon del Cesar|Cesar
CASANARE  ALCALDÍA MUNICIPIO DE VILLANUEVA|Villanueva|Casanare
SANTANDER  ALCALDÍA MUNICIPIO DE SAN BENITO|San Benito|Santander
PUTUMAYO  ESE HOSPITAL MARIA ANGELINES  PUERTO LEGUÍZAMO|Puerto Leguízamo|Putumayo
SANTANDER  ALCALDÍA MUNICIPIO DE GUADALUPE|Guadalupe|Santander
CREG  COMISIÓN DE REGULACIÓN DE ENERGÍA Y GAS|Bogotá D.C.|Bogotá D.C.
CESAR  INSTITUTO MUNICIPAL DE DEPORTES RECREACIÓN Y CULTURA IMDREC|Aguachica|Cesar
VALLE DEL CAUCA  INSTITUTO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA  INVIUNION|Cali|Valle del Cauca
BOLÍVAR  INSTITUTO MUNICIPAL DE RECREACION Y DEPORTE IMDER  CLEMENCIA|Clemencia|Bolívar
BOLÍVAR  ALCALDÍA MUNICIPIO DE BARRANCO DE LOBA|Barranco de Loba|Bolívar
NARIÑO  INSTITUCIÓN EDUCATIVA RIO TAPAJE  EL CHARCO|El Charco|Nariño
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA ANTONIO JOSE DE SUCRE|Buenaventura|Valle del Cauca
SAN ANDRÉS PROVIDENCIA Y SANTA CATALINA  CONTRALORÍA GENERAL|San Andrés|San Andrés, Providencia y Santa Catalina
SUCRE  INSTITUCIÓN EDUCATIVA TÉCNICO AGROPECUARIO DE LA GALLERA  SINCELEJO|Sincelejo|Sucre
SUCRE  EMPRESA OFICIAL DE ACUEDUCTO Y ALCANTARILLADO AAA DE TOLUVIEJO SA ESP|Toluviejo|Sucre
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA PAULO VI  PALMIRA|Palmira|Valle del Cauca
