Nombre de la Entidad|Municipio Entidad|Departamento Entidad
BOYACÁ  CENTRO EDUCATIVO QUEBRADA DE BECERRAS  DUITAMA|Duitama|Boyacá
CESAR  PERSONERÍA MUNICIPIO DE LA JAGUA DE IBIRICO|La Jagua de Ibirico|Cesar
PUTUMAYO  PERSONERÍA MUNICIPAL VALLE DEL GUAMUEZ|Valle del Guamuez/La Hormiga|Putumayo
TOLIMA  INSTITUCIÓN EDUCATIVA EL TESORO  LÍBANO|El Líbano|Tolima
NARIÑO  PERSONERÍA  MUNICIPAL  DE SAN PABLO|San Pablo|Nariño
SANTANDER  PERSONERÍA MUNICIPIO DE CURITI|Curití|Santander
NARIÑO  INSTITUCIÓN EDUCATIVA AGROPECUARIA MIGUEL ANGEL RANGEL  LA CRUZ|La Cruz|Nariño
NARIÑO  ADMINISTRACIÓN PUBLICA COOPERATIVA DE SERVICIOS PUBLICOS EL PEÑOL  ACOOPEÑOL|El Peñol|Nariño
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL MARÍA MEDINA  FOSCA|Fosca|Cundinamarca
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DIOSA CHÍA  CHÍA|Chía|Cundinamarca
CALDASUNIDAD PROMOTORA DEL VALOR SASPENSILVANIA|Pensilvania|Caldas
CESAR  CONCEJO MUNICIPAL AGUSTÍN CODAZZI|Agustín Codazzi|Cesar
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL TÉCNICA AGROPECUARIA POLICARPA SALAVARRIETA  FACATATIVÁ|Facatativá|Cundinamarca
CESAR  INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE  SAN DIEGO|San Diego|Cesar
CASANARE  EMPRESA DE SERVICIOS PÚBLICOS DE SACAMA SA ESP SÁCAMA|Sácama|Casanare
BOYACÁ  PERSONERÍA MUNICIPIO DE MARIPI|Maripí|Boyacá
CASANARE  CONCEJO MUNICIPIO DE SAN LUIS DE PALENQUE|San Luis de Palenque|Casanare
ARAUCA  CENTRO DE EDUCACIÓN INDÍGENA GUAHIBO SIKUANI PLAYEROS|Arauca|Arauca
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA SAN RAFAEL  SANTA ISABEL|Santa Isabel|Tolima
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE RIO NUEVO  ACHI|Achí|Bolívar
ANTIOQUIA  CONCEJO MUNICIPAL DE BRICEÑO|Briceño|Antioquia
BOYACÁ  INSTITUCIÓN EDUCATIVA NUEVA GENERACIÓN  SÁCHICA|Sáchica|Boyacá
CESAR  INSTITUCION EDUCATIVA VILLA DE SAN ANDRES  AGUACHICA|Aguachica|Cesar
SANTANDER  CONCEJO MUNICIPIO DE SIMACOTA|Simacota|Santander
SANTANDER  PERSONERÍA MUNICIPIO DE CARCASI|Carcasí|Santander
SANTANDER  CONCEJO MUNICIPAL DE CEPITÁ|Cepitá|Santander
ATLÁNTICO  INSTITUCIÓN EDUCATIVA INEM MIGUEL ANTONIO CARO|Soledad|Atlántico
ATLÁNTICO  INSTITUCIÓN EDUCATIVA DISTRITAL SAN MIGUEL ARCANGEL  BARRANQUILLA|Barranquilla|Atlántico
MAGDALENA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL GERARDO VALENCIA CANO|San Zenón|Magdalena
SANTANDER  CONTRALORÍA MUNICIPAL DE GIRÓN|Girón|Santander
NARIÑO  CONCEJO MUNICIPAL DE OLAYA HERRERA|Olaya Herrera|Nariño
ANTIOQUIA  CENTRO EDUCATIVO JUAN ANDRES PATIÑO   MEDELLÍN|Medellín|Antioquia
LA GUAJIRA  CENTRO ETNOEDUCATIVO INTEGRAL RURAL VALLE DE PARASHI  URIBIA|Uribia|La Guajira
FEDEGAN  FEDERACIÓN COLOMBIANA DE GANADEROS|Bogotá D.C.|Bogotá D.C.
SANTANDER  PERSONERÍA MUNICIPIO DE ARATOCA|Aratoca|Santander
SANTANDER  PERSONERÍA MUNICIPIO DE CONCEPCIÓN|Concepción|Santander
BOYACÁ  CONCEJO MUNICIPAL DE SANTA SOFIA BOYACA|Santa Sofía|Boyacá
ATLÁNTICO  INSTITUCIÓN EDUCATIVA EVARDO TURIZO PALENCIA  BARRANQUILLA|Barranquilla|Atlántico
TOLIMA  INSTITUCIÓN EDUCATIVA JUAN XXIII  HERVEO|Herveo|Tolima
LA GUAJIRA  INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA ANAURIO MANJARREZ  LA JAGUA DEL PILAR|La Jagua Del Pilar|La Guajira
CALDAS  INSTITUCIÓN EDUCATIVA LA MILAGROSA CENTRAL LOS MORROS  PÁCORA|Pácora|Caldas
ANTIOQUIA  CONCEJO MUNICIPIO DE TOLEDO|Toledo|Antioquia
NARIÑO  INSTITUCIÓN EDUCATIVA SANTA CRUZ  POLICARPA|Policarpa|Nariño
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DISTRITAL FIDEL LEON TRIANA  VERGARA|Vergara|Cundinamarca
CALDAS  CONCEJO MUNICIPIO DE NORCASIA|Norcasia|Caldas
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA MARÍA AUXILIADORA  SEVILLA|Sevilla|Valle del Cauca
CAUCA  PERSONERÍA MUNICIPIO DE INZA|Inzá|Cauca
SANTANDER  CONCEJO MUNICIPIO DE VETAS|Vetas|Santander
NARIÑO  INSTITUCIÓN EDUCATIVA SAN ALEJANDRO  GUAITARILLA|Guaitarilla|Nariño
CESAR  INSTITUCIÓN EDUCATIVA LA MATA  CHIMICHAGUA|Chimichagua|Cesar
BOYACÁ  INSTITUCION EDUCATIVA SAN JOSE DE LA FLORIDA  ZETAQUIRÁ|Zetaquira|Boyacá
NORTE DE SANTANDER  CONCEJO MUNICIPIO DE BUCARASICA|Bucarasica|Norte De Santander
CALDAS  INSTITUCIÓN EDUCATIVA PATIO BONITO  MARQUETALIA|Marquetalia|Caldas
SANTANDER  INSTITUTO POLITÉCNICO|Bucaramanga|Santander
ATLANTICO   INSTITUCIÓN EDUCATIVA DISTRITAL TÉCNICA DE REBOLO   BARRANQUILLA|Barranquilla|Atlántico
BOYACÁ  INSTITUCIÓN EDUCATIVA SANTA ROSA DE PAUNA|Pauna|Boyacá
NARIÑO  CONCEJO MUNICIPIO DE POLICARPA|Policarpa|Nariño
LA GUAJIRA  INSTITUCIÓN ETNOEDUCATIVA INTEGRAL RURAL INTERNADO INDÍGENA DE SIAPANA  URIBIA|Uribia|La Guajira
ATLANTICO  INSTITUCION EDUCATIVA DISTRITAL LA VICTORIA  BARRANQUILLA|Barranquilla|Atlántico
SANTANDER  PERSONERÍA MUNICIPIO DE PUERTO PARRA|Puerto Parra|Santander
BOGOTÁ DC  INFRAMCO SAS|Bogotá D.C.|Bogotá D.C.
ATLÁNTICO  INSTITUCIÓN EDUCATIVA DISTRITAL CONCENTRACIÓN CEVILLAR  BARRANQUILLA|Barranquilla|Atlántico
CESAR  CENTRO EDUCATIVO LIBANO MONTERREY  SAN ALBERTO|San Alberto|Cesar
BOYACA  INSTITUCION EDUCATIVA JOSE ANTONIO GALAN  PUERTO BOYACA|Puerto Boyacá|Boyacá
CALDAS  PERSONERÍA MUNICIPIO DE LA MERCED|La Merced|Caldas
SUCRE  CENTRO EDUCATIVO CAYO DELGADO  LA UNIÓN|La Unión|Sucre
LA GUAJIRA  INSTITUCION EDUCATIVA SAN JUAN BAUTISTA|Riohacha|La Guajira
BOYACÁ  CONCEJO MUNICIPIO DE GAMEZA|Gameza|Boyacá
CASANARE  INSTITUCIÓN EDUCATIVA EL BANCO  PORE|Pore|Casanare
LA GUAJIRA  CONCEJO MUNICIPAL DE MANAURE|Manaure|La Guajira
BOYACÁ  INSTITUCIÓN EDUCATIVA FRANCISCO JOSE DE CALDAS  CALDAS|Caldas|Boyacá
META  PERSONERÍA MUNICIPIO PUERTO RICO|Puerto Rico|Meta
ANTIOQUIA  INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL SANTIAGO DE ARMA  RIONEGRO|Rionegro|Antioquia
GUAVIARE  INSTITUCIÓN EDUCATIVA LAS DAMAS  CALAMAR|Calamar|Guaviare
SANTANDER  COLEGIO JOSÉ CELESTINO MUTIS|Bucaramanga|Santander
PUTUMAYO  INSTITUCION EDUCATIVA RURAL ANTONIO NARIÑO  ORITO|Orito|Putumayo
SUCRE  INSTITUCION EDUCATIVA LAS PALMAS  SANTIAGO DE TOLU|Santiago de Tolú|Sucre
CAQUETÁ  CONCEJO MUNICIPIO DE CARTAGENA DEL CHAIRA|Cartagena del Chairá|Caquetá
GUAVIARE  INSTITUCIÓN EDUCATIVA CAÑO TIGRE  MIRAFLORES|Miraflores|Guaviare
NARIÑO  CONCEJO MUNICIPAL DE RICAURTE  PASTO|Pasto|Nariño
CAQUETA  INSTITUCIÓN EDUCATIVA RURAL VILLA HERMOSA 2  FLORENCIA|Florencia|Caquetá
TOLIMA  PERSONERÍA MUNICIPIO DE ANZOATEGUI|Anzoátegui|Tolima
CUNDINAMARCA  PERSONERIA MUNICIPAL DE CHOACHI|Choachí|Cundinamarca
LA GUAJIRA  INSTITUCIÓN EDUCATIVA INDÍGENA N 3  MAICAO|Maicao|La Guajira
SANTANDER  INSTITUCIÓN EDUCATIVA LAS AMÉRICAS  BUCARAMANGA|Bucaramanga|Santander
BOYACÁ  CONCEJO MUNICIPAL DE TOCA|Toca|Boyacá
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL BALDOMEO SANÍN CANO  GACHALÁ|Gachalá|Cundinamarca
HUILA  PERSONERÍA MUNICIPIO DE AIPE|Aipe|Huila
GUAVIARE  INSTITUCIÓN EDUCATIVA LAS ACACIAS  SAN JOSE DEL GUAVIARE|San José del Guaviare|Guaviare
CESAR  CONCEJO MUNICIPIO DE MANAURE|Manaure Balcon del Cesar|Cesar
LA GUAJIRA  CENTRO ETNOEDUCATIVO RURAL BALLENA  BARRANCAS|Barrancas|La Guajira
SUCRE  CENTRO EDUCATIVO LAS PALMITAS|La Unión|Sucre
CALDAS  PERSONERÍA MUNICIPIO DE PENSILVANIA|Pensilvania|Caldas
NORTE DE SANTANDER  INSTITUTO TECNICO MARIO PEZZOTTI LEMUS  LOS PATIOS|Los Patios|Norte De Santander
TOLIMA  CENTRO DE DIAGNÓSTICO AUTOMOTOR DEL TOLIMA|Ibagué|Tolima
ANTIOQUIA  CONCEJO MUNICIPIO DE OLAYA|Olaya|Antioquia
CALDAS  PERSONERÍA MUNICIPIO DE RISARALDA|Risaralda|Caldas
PUTUMAYO  INSTITUCIÓN EDUCATIVA RURAL SANTA JULIANA|Villa Garzón/Villa Amazonica|Putumayo
PUTUMAYO  PERSONERÍA MUNICIPAL PUERTO CAICEDO|Puerto Caicedo|Putumayo
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA NIÑO JESÚS DE PRAGA  BUENAVENTURA|Buenaventura|Valle del Cauca
VALLE DEL CAUCA  CONCEJO MUNICIPAL DE JAMUNDÍ|Jamundi|Valle del Cauca
SUCRE  CENTRO EDUCATIVO SITIO NUEVO  MAJAGUAL|Majagual|Sucre
BOYACÁ  PERSONERÍA MUNICIPIO DE PISBA|Pisba|Boyacá
LA GUAJIRA  INSTITUCION ETNOEDUCATIVA RURAL LA PAZ  MANAURE|Manaure|La Guajira
CALDAS  PERSONERÍA MUNICIPIO DE MARMATO|Marmato|Caldas
SUCRE  CENTRO EDUCATIVO BARRANCA  SAN ONOFRE|San Onofre|Sucre
CESARINSTITUCION EDUCATIVA DIVINO NIÑOAGUSTIN CODAZZI|Agustín Codazzi|Cesar
ANTIOQUIA  CONCEJO MUNICIPAL DE MURINDÓ|Murindó|Antioquia
LA GUAJIRA  INSTITUCIÓN EDUCATIVA No 11 SEDE ESCUELA EL CARMEN  MAICAO|Maicao|La Guajira
CAQUETÁ  INSTITUCIÓN EDUCATIVA LAS LAJAS  SAN JOSÉ DEL FRAGUA|San José del Fragua|Caquetá
BOYACÁ  UNIVERSIDAD SANTO TOMAS  SECCIONAL TUNJA|Tunja|Boyacá
ATLÁNTICO  INSTITUCIÓN EDUCATIVA TÉCNICA JUAN XXIII  MALAMBO|Malambo|Atlántico
HUILA  PERSONERÍA MUNICIPIO DE ELIAS|Elías|Huila
NARIÑO  CENTRO EDUCATIVO MUNICIPAL EL SOCORRO  PASTO|Pasto|Nariño
SANTANDER  INSTITUCIÓN EDUCATIVA VILLAS DE SAN IGNACIO  BUCARAMANGA|Bucaramanga|Santander
PUTUMAYO  INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DEL PILAR  VILLA GARZÓN|Villa Garzón/Villa Amazonica|Putumayo
SANTANDER  CONCEJO MUNICIPIO DE MACARAVITA|Macaravita|Santander
MAGDALENA  INSTITUTO MUNICIPAL DE RECREACIÓN Y DEPORTES DE CHIBOLO|Chibolo|Magdalena
CÓRDOBA  CONCEJO MUNICIPAL DE COTORRA|Cotorra|Córdoba
PUTUMAYO  INSTITUCION EDUCATIVA CIUDAD MOCOA  MOCOA|San Miguel de Mocoa|Putumayo
ATLÁNTICO  INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL PEDRO A OÑORO DE BARANOA|Baranoa|Atlántico
BOLIVAR  INSTITUCION EDUCATIVA FULGENCIO LEQUERICA VÉLEZ|Cartagena|Bolívar
LA GUAJIRA  INSTITUCIÓN EDUCATIVA SILVESTRE DANGOND DAZA|Villanueva|La Guajira
CESAR  FONDO ROTATORIO DE VALORIZACION MUNICIPAL  AGUACHICA|Aguachica|Cesar
SANTANDER  CONCEJO MUNICIPIO DE EL PEÑON|El Peñón|Santander
SUCRE  PERSONERÍA MUNICIPIO DE OVEJAS|Ovejas|Sucre
META  INSTITUCIÓN EDUCATIVA LA JULIA  URIBE|Uribe|Meta
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL AQUILEO PARRA  PACHO|Pacho|Cundinamarca
ANTIOQUIA  FONDO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA DE SANTO DOMINGO|Santo Domingo|Antioquia
CAQUETÁ  INSTITUCIÓN EDUCATIVA LOS ANDES  FLORENCIA|Florencia|Caquetá
BOYACÁ  CONCEJO MUNICIPAL CORRALES|Corrales|Boyacá
BOYACÁ  CONCEJO MUNICIPAL DE ARCABUCO|Arcabuco|Boyacá
CESAR  CENTRO EDUCATIVO MONTECITOS  RIO DE ORO|Río de Oro|Cesar
MAGDALENA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SAN JOSE DE SAN FERNANDO  SANTA ANA|Santa Ana|Magdalena
SANTANDER  INSTITUCIÓN EDUCATIVA COMUNEROS  BUCARAMANGA|Bucaramanga|Santander
CUNDINAMARCA  IERD CASADILLAS BAJO  MACHETÁ|Macheta|Cundinamarca
CALDAS  PERSONERÍA MUNICIPAL DE CHINCHINÁ|Chinchiná|Caldas
ATLÁNTICO  INSTITUTO MUNICIPAL DE RECREACIÓN Y DEPORTES  SABANAGRANDE|Sabanalarga|Atlántico
BOLÍVAR  CONCEJO MUNICIPAL DE SAN MARTIN DE LOBA|San Martín de Loba|Bolívar
PUTUMAYO  CENTRO EDUCATIVO RURAL LAS MALVINAS  VALLE DEL GUAMUEZ|Valle del Guamuez/La Hormiga|Putumayo
LA GUAJIRA  INSTITUCIÓN ETNOEDUCATIVA NO 11  RIOHACHA|Riohacha|La Guajira
CUNDINAMARCA  INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL SANTA ROSA DE UBALA|Ubalá|Cundinamarca
CESAR  INSTITUCIÓN EDUCATIVA SAN JUAN BOSCO  BOSCONIA|Bosconia|Cesar
CALDAS  INSTITUCIÓN EDUCATIVA PIO XII  NEIRA|Neira|Caldas
PUTUMAYO  CENTRO ETNOEDUCATIVO RURAL INDÍGENA MONA TO  PUERTO LEGUÍZAMO|Puerto Leguízamo|Putumayo
CHOCÓ  INSTITUCIÓN EDUCATIVA AGROAMBIENTAL Y ECOLÓGICA LUIS LOZANO SCIPION|Condoto|Chocó
BOLÍVAR  INSTITUCIÓN EDUCATIVA SAN FRANCISCO  SANTA ROSA DEL SUR|Santa Rosa del Sur|Bolívar
ATLÁNTICO  INSTITUCION EDUCATIVA MARTILLO  PONEDERA|Ponedera|Atlántico
NORTE DE SANTANDER  ASOCIACIÓN DEL MENOR RUDESINDO SOTO|San José de Cúcuta|Norte De Santander
LA GUAJIRA  CENTRO ETNOEDUCATIVO RURAL EL CERRO YELETSHIMANA  HATONUEVO|Hatonuevo|La Guajira
BOLÍVAR  PERSONERÍA MUNICIPIO DE  SANTA ROSA DEL SUR|Santa Rosa del Sur|Bolívar
CESAR  INSTITUCION EDUCATIVA RAFAEL ARGOTE VEGA  CHIRIGUANA|Chimichagua|Cesar
ATLÁNTICO  INSTITUCIÓN EDUCATIVA NOBEL JUAN MANUEL SANTOS  SOLEDAD|Soledad|Atlántico
PUTUMAYO  CABILDO DEL PUEBLO CAMENTSA BIYA|Sibundoy|Putumayo
CALDAS  INSTITUCIÓN EDUCATIVA AGUACATAL  NEIRA|Neira|Caldas
ANTIOQUIA  INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR PEDRO JUSTO BERRÍO|Santa Rosa de Osos|Antioquia
CAQUETÁ  INSTITUCIÓN EDUCATIVA RURAL PALMA ARRIBA  LA MONTAÑITA|La Montañita|Caquetá
ANTIOQUIA  PERSONERÍA MUNICIPAL DE AMALFI|Amalfi|Antioquia
CENTRO DE BIOINFORMÁTICA Y BIOLOGÍA COMPUTACIONAL DE COLOMBIA  BIOS|Manizales|Caldas
ANTIOQUIA  FONDO ACUMULATIVO UNIVERSITARIO UNIVERSIDAD DE ANTIOQUIA|Medellín|Antioquia
CAUCA  INSTITUCIÓN EDUCATIVA PROMOCIÓN SOCIAL|Timbío|Cauca
ANTIOQUIA  INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR MARIANO OSPINA RODRIGUEZ  FREDONIA|Fredonia|Antioquia
BOYACÁ  CONCEJO MUNICIPAL SOCOTÁ|Socotá|Boyacá
CAQUETÁ  INSTITUCIÓN EDUCATIVA PARROQUIAL  SAN JOSÉ DEL FRAGUA|San José del Fragua|Caquetá
RISARALDA  EMPRESAS PÚBLICAS MUNICIPALES BELÉN DE UMBRÍA SAS ESP|Belén de Umbría|Risaralda
ANTIOQUIA  ENVIASEO  ESP  ENVIGADO|Envigado|Antioquia
MAGDALENA   INSTITUCIÓN EDUCATIVA DE SEVILLANO  CIÉNAGA|Ciénaga|Magdalena
BOLÍVAR  PERSONERÍA MUNICIPIO DE MARGARITA|Margarita|Bolívar
CÓRDOBA  CONCEJO MUNICIPAL DE MONTELIBANO|Montelíbano|Córdoba
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE ARARCA  CARTAGENA|Cartagena|Bolívar
CAQUETÁ  INSTITUCIÓN EDUCATIVA RURAL ILUSIÓN MATICURU  MILÁN|Milán|Caquetá
CALDAS  INSTITUTO DE FINANCIAMIENTO PROMOCIÓN Y DESARROLLO DE CALDAS|Manizales|Caldas
ATLÁNTICO  ASAMBLEA DEPARTAMENTAL|Barranquilla|Atlántico
CUNDINAMARCA  ESE HOSPITAL MARIO GAITÁN YANGUAS  SOACHA|Soacha|Cundinamarca
CUNDINAMARCA  ESE HOSPITAL ISMAEL SILVA  SILVANIA|Silvania|Cundinamarca
ANTIOQUIA  EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DE YONDÓ ESP|Yondó|Antioquia
PUTUMAYO  CENTRO EDUCATIVO RURAL EL CEDRO  PUERTO GUZMÁN|Puerto Guzmán|Putumayo
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE EL ÁGUILA|El Águila|Valle del Cauca
CESAR  INSTITUTO MUNICIPAL DE RECREACIÓN Y DEPORTE DE CHIRIGUANÁ|Chiriguaná|Cesar
CUNDINAMARCA  CONCEJO MUNICIPIO DE AGUA DE DIOS|Agua de Dios|Cundinamarca
FONDO COLOMBIA EN PAZ|Bogotá D.C.|Bogotá D.C.
META  ESE HOSPITAL LOCAL DE CUBARRAL|Cubarral|Meta
BOLÍVAR  INSTITUTO DE CULTURA Y TURISMO DE BOLÍVAR  CARTAGENA|Cartagena|Bolívar
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TITAN  YUMBO|Yumbo|Valle del Cauca
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA EVARISTO GARCÍA  CALI|Cali|Valle del Cauca
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA MORENA Y ESCANDÓN  MARIQUITA|San Sebastian de Mariquita|Tolima
CHOCÓ  CONTRALORÍA GENERAL DEL CHOCÓ|Quibdó|Chocó
BOGOTÁ DC  IED MIGUEL ANTONIO CARO|Bogotá D.C.|Bogotá D.C.
SUCRE  INSTITUCIÓN EDUCATIVA CAÑO PRIETO  SAN MARCOS|San Marcos|Sucre
BOGOTÁ DC  COLEGIO MANUEL ZAPATA OLIVELLA IED|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA GOLONDRINAS  CALI|Cali|Valle del Cauca
CESAR  CONCEJO MUNICIPAL DE CHIMICHAGUA|Chimichagua|Cesar
CUNDINAMARCA  INSTITUCION  EDUCATIVA DEPARTAMENTAL MIXTO ANTONIO RICAURTE  PUERTO SALGAR|Puerto Salgar|Cundinamarca
RISARALDA  EMPRESA DE SERVICIOS PÚBLICOS DE BALBOA EMILIO GARTNER GÓMEZ SA ESP|Balboa|Risaralda
ANTIOQUIA  INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA  MEDELLÍN|Medellín|Antioquia
SANTANDER  ESE SAN CAYETANO HOSPITAL GUAPOTÁ|Guapotá|Santander
CAQUETÁ  ESE FABIO JARAMILLO LONDOÑO|Florencia|Caquetá
HUILA  ESE MUNICIPAL MANUEL CASTRO TOVAR  PITALITO|Pitalito|Huila
SANTANDER  EMPRESA DE SERVICIOS PUBLICOS CABRERANA  CABRERA|Cabrera|Santander
CORPOBOYACÁ  CORPORACIÓN AUTÓNOMA REGIONAL DE BOYACÁ|Tunja|Boyacá
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA SANTA ANA  SOACHA|Soacha|Cundinamarca
TOLIMA  CONCEJO MUNICIPAL DE EL ESPINAL|El Espinal|Tolima
CESAR  FONDO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA  CHIRIGUANA|Chiriguaná|Cesar
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE LA PEÑA|La Peña|Cundinamarca
ANTIOQUIA  ALCALDÍA MUNICIPIO DE MUTATÁ|Mutatá|Antioquia
CAUCA  ESE QUILISALUD  SANTANDER DE QUILICHAO|Santander de Quilichao|Cauca
META  ALCALDÍA MUNICIPIO DE EL CALVARIO|El Calvario|Meta
HUILA   INSTITUCIÓN EDUCATIVA NICOLAS GARCÍA BAHAMON  TELLO|Tello|Huila
VALLE DEL CAUCA  INSTITUTO MUNICIPAL DE REFORMA URBANA Y DE VIVIENDA DE INTERÉS SOCIAL DE YUMBO|Yumbo|Valle del Cauca
BOGOTÁ DC  IED LOS ALPES|Bogotá D.C.|Bogotá D.C.
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE QUIPILE|Quipile|Cundinamarca
BOLÍVAR  EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD CON CAMAS  PEÑÓN|El Peñón|Bolívar
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ARGELIA|Argelia|Antioquia
ANTIOQUIA  INSTITUCIÓN EDUCATIVA ESTEBAN OCHOA  ITAGÜÍ|Itagüí|Antioquia
QUINDÍO  CONCEJO MUNICIPIO DE MONTENEGRO|Montenegro|Quindío
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TÉCNICO DE COMERCIO SANTA CECILIA  CALI|Cali|Valle del Cauca
CHOCÓ  AGUAS DEL CHOCÓ SA ESP|Quibdó|Chocó
HUILA   BIORGANICOS DEL SUR DEL HUILA SA ESP EN REESTRUCTURACIÓN  PITALITO|Pitalito|Huila
ATLÁNTICO  INSTITUCIÓN EDUCATIVA DISTRITAL CASTILLO DE LA ALBORAYA  BARRANQUILLA|Barranquilla|Atlántico
HUILA  EMPRESAS PÚBLICAS MUNICIPALES DE GARZÓN|Garzón|Huila
CALDAS  EMPRESA DE SERVICIOS PÚBLICOS DEL ORIENTE DE CALDAS SA ESP  MARQUETALIA|Marquetalia|Caldas
BOGOTÁ DC  FONDO ESPECIAL PARA LA ADMINISTRACIÓN DE BIENES DE LA FISCALÍA GENERAL DE LA NACIÓN|Bogotá D.C.|Bogotá D.C.
BOGOTÁ DC  IED ACACIA II|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  INSTITUTO TÉCNICO AGRÍCOLA DE BUGA  BUGALAGRANDE|Bugalagrande|Valle del Cauca
QUINDÍO  INSTITUCIÓN EDUCATIVA EL CAIMO ARMENIA|Armenia|Quindío
MINISTERIO DE SALUD Y PROTECCIÓN SOCIAL MINSALUD|Bogotá D.C.|Bogotá D.C.
CÓRDOBA  ALCALDÍA MUNICIPIO DE SAHAGÚN|Sahagún|Córdoba
ANTIOQUIA  ESE HOSPITAL SAN ANTONIO  BURITICÁ|Buriticá|Antioquia
TOLIMA  FABRICA DE LICORES DEL TOLIMA|Ibagué|Tolima
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE CACOTA|Cácota|Norte De Santander
NARIÑO  ALCALDÍA MUNICIPIO DE SAMANIEGO|Samaniego|Nariño
CALDAS  ALCALDÍA MUNICIPIO DE SUPIA|Supía|Caldas
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN JERÓNIMO|San Jerónimo|Antioquia
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE UBALÁ|Ubalá|Cundinamarca
SANTANDER  ESE HOSPITAL INTEGRADO SAN ANTONIO  PUENTE NACIONAL|Puente Nacional|Santander
VALLE DEL CAUCA  ESE HOSPITAL MUNICIPAL RUBÉN CRUZ VÉLEZ  TULUÁ|Tuluá|Valle del Cauca
BOGOTÁ DC  UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS|Bogotá D.C.|Bogotá D.C.
CHOCÓ  ALCALDÍA MUNICIPIO DE ACANDÍ|Acandí|Chocó
META  CONTRALORÍA DEPARTAMENTAL DEL META|Villavicencio|Meta
BOGOTÁ DC  IED ALBERTO LLERAS CAMARGO|Bogotá D.C.|Bogotá D.C.
TOLIMA  HOSPITAL SAN ANTONIO  GUAMO|El Guamo|Tolima
BOGOTÁ DC  IED LICEO NACIONAL ANTONIA SANTOS|Bogotá D.C.|Bogotá D.C.
BOGOTÁ DC  IED EL RODEO|Bogotá D.C.|Bogotá D.C.
QUINDÍO  INSTITUCIÓN EDUCATIVA CAMILO TORRES  ARMENIA|Armenia|Quindío
QUINDÍO  EMPRESA DE SERVICIOS SANITARIOS DE CÓRDOBA SA ESP|Córdoba|Quindío
QUINDÍO  SERVIASEO FILANDIA SAS ESP|Filandia|Quindío
CUNDINAMARCA  INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACIÓN DE MADRID|Madrid|Cundinamarca
SUCRE  ESE CENTRO DE SALUD  SAN PEDRO|San Pedro|Sucre
CUNDINAMARCA  CONCEJO MUNICIPIO DE GUAYABAL DE SIQUIMA|Guayabal de Siquima|Cundinamarca
HUILA  INSTITUCIÓN EDUCATIVA MARIA AUXILIADORA  ELIAS|Elías|Huila
BOLÍVAR  EMPRESA DE SERVICIOS PUBLICOS DE MORALES|Morales|Bolívar
